,Date of Sale,Menu Name,Net Sales,Sales Quantity
2515,08-02-2024,Nutty Cream Stick Bread,11.9,3.
2516,08-02-2024,Olive Tomato Bread,36.,8.
2517,08-02-2024,Original Coffee Bun,37.5,10.
2518,08-02-2024,Pizza Bread,28.5,6.
2519,08-02-2024,Potato Cheese Bread,29.7,6.
2520,08-02-2024,Premium Red Bean Bread,14.,4.
2521,08-02-2024,Redbean Bread,27.,9.
2522,08-02-2024,Salt & Butter Roll,24.5,7.
2523,08-02-2024,Soboro,36.,12.
2524,08-02-2024,Strawberry Cream Soboro,12.75,3.
2525,08-02-2024,Strawberry Soft,28.,8.
2526,08-02-2024,Sweet Frank Roll,51.74,14.
2527,08-02-2024,Taro Buttercream Bread,20.85,3.
2528,08-02-2024,Taro Cream Bun,3.5,1.
2529,08-03-2024,Chocolate Cream Doughnut,63.2,16.
2530,08-03-2024,Corn Cheese Donut,15.67,10.
2531,08-03-2024,Croquette,91.5,25.
2532,08-03-2024,Curry Croquette,147.37,41.
2533,08-03-2024,Kimchi Croquette,63.75,17.
2534,08-03-2024,Mango Cream Doughnut,58.06,15.
2535,08-03-2024,Redbean Donut,27.,9.
2536,08-03-2024,Sesame Donut,26.4,10.
2537,08-03-2024,Sweet Rice Donut,27.5,10.
2538,08-03-2024,Twist Donut,59.95,22.
2539,08-03-2024,Baguette,14.,4.
2540,08-03-2024,Walnut Cream Baguette,14.85,3.
2541,08-03-2024,Chestnut Pan Bread,13.9,2.
2542,08-03-2024,Mascarpone Whipped Cream Loaf,21.,3.
2543,08-03-2024,Multi-Grain Plant-Based Loaf,35.,5.
2544,08-03-2024,Olive Basil Plant-Based Loaf,14.,2.
2545,08-03-2024,Purple Sweet Potato Loaf,28.,4.
2546,08-03-2024,Whole Milk Loaf,49.,7.
2547,08-03-2024,Chocolate Pretzel Pastry,21.,6.
2548,08-03-2024,Almond Croissant,29.75,7.
2549,08-03-2024,Blueberry Jam Mont Blanc Pastry,21.75,3.
2550,08-03-2024,Caramel Almond Pastry,26.25,7.
2551,08-03-2024,Caramel Apple Pie,104.43,28.
2552,08-03-2024,Chocolate Avalanche,71.1,18.
2553,08-03-2024,Chocolate Croissant,55.25,13.
2554,08-03-2024,Cocoa Hazelnut Croissant,29.75,7.
2555,08-03-2024,Cranberry Cream Cheese Scone,10.,4.
2556,08-03-2024,Cream Puff Pastry,18.19,5.
2557,08-03-2024,Crispy Almond Pastry,45.,12.
2558,08-03-2024,Croissant,78.,24.
2559,08-03-2024,Custard & Almond Pretzel Pastry,14.,4.
2560,08-03-2024,Elotes Pastry,15.8,4.
2561,08-03-2024,Frank Pastry,51.35,13.
2562,08-03-2024,Garlic & Cheese Croissant,34.,8.
2563,08-03-2024,Greek Yogurt Cherry Danish,29.44,8.
2564,08-03-2024,Guava Danish,60.,16.
2565,08-03-2024,Mini Apple Danish Trio,34.,8.
2566,08-03-2024,Mixed Berry Danish,20.,4.
2567,08-03-2024,Mont Blanc Pastry,24.,4.
2568,08-03-2024,Pain Au Chocolat,112.5,30.
2569,08-03-2024,Pain Aux Raisin,30.,8.
2570,08-03-2024,Pineapple Cream Cheese Scone,17.5,7.
2571,08-03-2024,Portuguese Egg Tart,55.25,17.
2572,08-03-2024,Spinach Feta Danish,90.85,23.
2573,08-03-2024,Strawberry Croissant,23.75,5.
2574,08-03-2024,Sweet Cheese and Blueberry Danish,56.25,15.
2575,08-03-2024,Yuzu Pie,63.75,15.
2576,08-03-2024,Baby Choux,18.,4.
2577,08-03-2024,Banana Soft,17.5,5.
2578,08-03-2024,Belgium Waffle,14.,4.
2579,08-03-2024,Blueberry Cream Cheese Bread,42.,12.
2580,08-03-2024,Blueberry Muffin w/ Blueberry filling,19.75,5.
2581,08-03-2024,Chocolate Dipped Waffle,32.,8.
2582,08-03-2024,Chocolate Muffin w/ Hazelnut filling,27.65,7.
2583,08-03-2024,Cranberry Cream Cheese Bread,28.76,9.
2584,08-03-2024,Croque Monsieur,89.54,19.
2585,08-03-2024,Custard Bun,38.55,13.
2586,08-03-2024,Custard Cream Soboro,42.,12.
2587,08-03-2024,Foliage Sausage Bread,95.54,20.
2588,08-03-2024,Garlic Cream Cheese Bread,79.75,15.
2589,08-03-2024,Garlic Ham Cheese Bread,4.25,1.
2590,08-03-2024,Honey Cheese Pancake,88.36,18.
2591,08-03-2024,Honeydew Melon Soft,17.5,5.
2592,08-03-2024,Milk Cream Bread,48.75,15.
2593,08-03-2024,Milk Soft Bread,10.5,3.
2594,08-03-2024,Mini Butter Cream Bread,30.,12.
2595,08-03-2024,Mocha Cream Bread,29.7,6.
2596,08-03-2024,Morning Bread,25.,4.
2597,08-03-2024,Nutty Cream Stick Bread,17.,4.
2598,08-03-2024,Olive Tomato Bread,39.82,9.
2599,08-03-2024,Original Coffee Bun,26.25,7.
2600,08-03-2024,Pizza Bread,33.25,7.
2601,08-03-2024,Potato Cheese Bread,64.35,13.
2602,08-03-2024,Premium Red Bean Bread,5.25,2.
2603,08-03-2024,Redbean Bread,33.,11.
2604,08-03-2024,Salt & Butter Roll,56.,16.
2605,08-03-2024,Soboro,21.,8.
2606,08-03-2024,Strawberry Cream Soboro,21.25,5.
2607,08-03-2024,Strawberry Soft,17.5,5.
2608,08-03-2024,Sweet Frank Roll,101.91,26.
2609,08-03-2024,Taro Buttercream Bread,27.8,4.
2610,08-03-2024,The+ Milk Roll,23.,4.
2611,08-05-2024,Chocolate Cream Doughnut,47.4,12.
2612,08-05-2024,Corn Cheese Donut,11.55,7.
2613,08-05-2024,Croquette,55.69,15.
2614,08-05-2024,Curry Croquette,67.5,18.
2615,08-05-2024,Kimchi Croquette,33.,9.
2616,08-05-2024,Mango Cream Doughnut,55.3,14.
2617,08-05-2024,Redbean Donut,18.,6.
2618,08-05-2024,Sesame Donut,8.25,3.
2619,08-05-2024,Sweet Cream Donut,7.,2.
2620,08-05-2024,Sweet Rice Donut,19.25,7.
2621,08-05-2024,Twist Donut,33.,12.
2622,08-05-2024,Baguette,10.5,3.
2623,08-05-2024,Walnut Cream Baguette,9.9,2.
2624,08-05-2024,Chestnut Pan Bread,13.9,2.
2625,08-05-2024,Mascarpone Whipped Cream Loaf,14.,2.
2626,08-05-2024,Purple Sweet Potato Loaf,14.,2.
2627,08-05-2024,Whole Milk Loaf,14.,2.
2628,08-05-2024,Chocolate Pretzel Pastry,14.,4.
2629,08-05-2024,Almond Croissant,38.25,9.
2630,08-05-2024,Blueberry Jam Mont Blanc Pastry,29.,4.
2631,08-05-2024,Caramel Apple Pie,33.75,9.
2632,08-05-2024,Chocolate Avalanche,31.6,8.
2633,08-05-2024,Chocolate Croissant,17.,4.
2634,08-05-2024,Cocoa Hazelnut Croissant,17.,4.
2635,08-05-2024,Cranberry Cream Cheese Scone,12.5,5.
2636,08-05-2024,Crispy Almond Pastry,3.75,1.
2637,08-05-2024,Croissant,61.75,19.
2638,08-05-2024,Custard & Almond Pretzel Pastry,13.47,4.
2639,08-05-2024,Frank Pastry,15.8,4.
2640,08-05-2024,Garlic & Cheese Croissant,17.,4.
2641,08-05-2024,Greek Yogurt Cherry Danish,26.25,7.
2642,08-05-2024,Guava Danish,33.75,9.
2643,08-05-2024,Mini Apple Danish Trio,8.5,2.
2644,08-05-2024,Mont Blanc Pastry,18.,3.
2645,08-05-2024,Pain Au Chocolat,63.75,17.
2646,08-05-2024,Pain Aux Raisin,7.5,2.
2647,08-05-2024,Pineapple Cream Cheese Scone,2.5,1.
2648,08-05-2024,Portuguese Egg Tart,19.5,6.
2649,08-05-2024,Spinach Feta Danish,58.46,15.
2650,08-05-2024,Strawberry Croissant,33.25,7.
2651,08-05-2024,Sweet Cheese and Blueberry Danish,36.94,10.
2652,08-05-2024,Yuzu Pie,29.75,7.
2653,08-05-2024,Baby Choux,13.5,3.
2654,08-05-2024,Banana Soft,14.,4.
2655,08-05-2024,Belgium Waffle,10.5,3.
2656,08-05-2024,Blueberry Cream Cheese Bread,28.,8.
2657,08-05-2024,Chocolate Dipped Waffle,28.,7.
2658,08-05-2024,Chocolate Muffin w/ Hazelnut filling,7.3,2.
2659,08-05-2024,Cranberry Cream Cheese Bread,19.5,6.
2660,08-05-2024,Croque Monsieur,47.5,10.
2661,08-05-2024,Custard Bun,27.,9.
2662,08-05-2024,Custard Cream Soboro,14.,4.
2663,08-05-2024,Foliage Sausage Bread,63.36,13.
2664,08-05-2024,Garlic Cream Cheese Bread,38.5,7.
2665,08-05-2024,Garlic Ham Cheese Bread,4.25,1.
2666,08-05-2024,Honey Cheese Pancake,49.5,10.
2667,08-05-2024,Honeydew Melon Soft,14.,4.
2668,08-05-2024,Milk Cream Bread,45.5,14.
2669,08-05-2024,Milk Soft Bread,3.5,1.
2670,08-05-2024,Mini Butter Cream Bread,20.,8.
2671,08-05-2024,Mocha Cream Bread,14.85,3.
2672,08-05-2024,Nutty Cream Stick Bread,12.75,3.
2673,08-05-2024,Olive Tomato Bread,18.,4.
2674,08-05-2024,Original Coffee Bun,26.25,7.
2675,08-05-2024,Pizza Bread,14.25,3.
2676,08-05-2024,Potato Cheese Bread,24.75,5.
2677,08-05-2024,Premium Red Bean Bread,10.5,3.
2678,08-05-2024,Redbean Bread,24.,8.
2679,08-05-2024,Salt & Butter Roll,28.,8.
2680,08-05-2024,Soboro,42.,14.
2681,08-05-2024,Strawberry Cream Soboro,12.75,3.
2682,08-05-2024,Strawberry Soft,10.5,3.
2683,08-05-2024,Sweet Frank Roll,54.51,14.
2684,08-05-2024,Taro Buttercream Bread,13.9,2.
2685,08-05-2024,The+ Milk Roll,23.,4.
2686,08-06-2024,Chocolate Cream Doughnut,54.51,14.
2687,08-06-2024,Corn Cheese Donut,16.17,10.
2688,08-06-2024,Croquette,55.5,15.
2689,08-06-2024,Curry Croquette,86.25,23.
2690,08-06-2024,Kimchi Croquette,51.,14.
2691,08-06-2024,Mango Cream Doughnut,53.72,14.
2692,08-06-2024,Redbean Donut,18.,6.
2693,08-06-2024,Sesame Donut,15.95,6.
2694,08-06-2024,Sweet Cream Donut,19.25,6.
2695,08-06-2024,Sweet Rice Donut,19.25,7.
2696,08-06-2024,Twist Donut,26.95,10.
2697,08-06-2024,Baguette,10.5,3.
2698,08-06-2024,Walnut Cream Baguette,9.9,2.
2699,08-06-2024,Chestnut Pan Bread,9.5,2.
2700,08-06-2024,Mascarpone Whipped Cream Loaf,28.,4.
2701,08-06-2024,Multi-Grain Plant-Based Loaf,7.,1.
2702,08-06-2024,Olive Basil Plant-Based Loaf,14.,2.
2703,08-06-2024,Whole Milk Loaf,35.,5.
2704,08-06-2024,Chocolate Pretzel Pastry,21.,6.
2705,08-06-2024,Almond Croissant,59.5,14.
2706,08-06-2024,Blueberry Jam Mont Blanc Pastry,29.,4.
2707,08-06-2024,Caramel Almond Pastry,7.5,2.
2708,08-06-2024,Caramel Apple Pie,60.,17.
2709,08-06-2024,Chocolate Avalanche,51.35,13.
2710,08-06-2024,Chocolate Croissant,25.5,6.
2711,08-06-2024,Cocoa Hazelnut Croissant,21.25,5.
2712,08-06-2024,Cranberry Cream Cheese Scone,2.,1.
2713,08-06-2024,Croissant,56.87,20.
2714,08-06-2024,Custard & Almond Pretzel Pastry,10.5,3.
2715,08-06-2024,Garlic & Cheese Croissant,12.75,3.
2716,08-06-2024,Greek Yogurt Cherry Danish,45.,13.
2717,08-06-2024,Guava Danish,30.,8.
2718,08-06-2024,Jalapeno Cheese Croissant,12.75,3.
2719,08-06-2024,Mini Apple Danish Trio,21.25,5.
2720,08-06-2024,Mont Blanc Pastry,12.,2.
2721,08-06-2024,Pain Au Chocolat,82.5,22.
2722,08-06-2024,Pain Aux Raisin,18.75,5.
2723,08-06-2024,Pineapple Cream Cheese Scone,12.5,5.
2724,08-06-2024,Portuguese Egg Tart,39.,12.
2725,08-06-2024,Raspberry Pretzel Pastry,10.5,3.
2726,08-06-2024,Spinach Feta Danish,67.15,17.
2727,08-06-2024,Strawberry Croissant,19.,4.
2728,08-06-2024,Sweet Cheese and Blueberry Danish,30.,8.
2729,08-06-2024,Yuzu Pie,51.85,13.
2730,08-06-2024,Baby Choux,13.5,3.
2731,08-06-2024,Banana Soft,14.,4.
2732,08-06-2024,Belgium Waffle,21.,6.
2733,08-06-2024,Blueberry Cream Cheese Bread,27.3,8.
2734,08-06-2024,Blueberry Muffin w/ Blueberry filling,7.9,2.
2735,08-06-2024,Chocolate Dipped Waffle,32.,9.
2736,08-06-2024,Chocolate Muffin w/ Hazelnut filling,11.85,3.
2737,08-06-2024,Cranberry Cream Cheese Bread,26.,8.
2738,08-06-2024,Croque Monsieur,68.4,15.
2739,08-06-2024,Custard Bun,30.,10.
2740,08-06-2024,Custard Cream Soboro,24.5,7.
2741,08-06-2024,Foliage Sausage Bread,76.72,16.
2742,08-06-2024,Garlic Cream Cheese Bread,42.9,8.
2743,08-06-2024,Garlic Stick,9.,3.
2744,08-06-2024,Honey Cheese Pancake,48.51,10.
2745,08-06-2024,Honeydew Melon Soft,14.,4.
2746,08-06-2024,Milk Cream Bread,40.95,13.
2747,08-06-2024,Milk Soft Bread,13.3,4.
2748,08-06-2024,Milky bread,4.25,1.
2749,08-06-2024,Mini Butter Cream Bread,5.,2.
2750,08-06-2024,Mocha Cream Bread,19.8,4.
2751,08-06-2024,Morning Bread,12.5,2.
2752,08-06-2024,Nutty Cream Stick Bread,8.5,2.
2753,08-06-2024,Olive Tomato Bread,18.,4.
2754,08-06-2024,Original Coffee Bun,26.25,7.
2755,08-06-2024,Pizza Bread,19.,4.
2756,08-06-2024,Potato Cheese Bread,49.5,10.
2757,08-06-2024,Premium Red Bean Bread,14.,4.
2758,08-06-2024,Redbean Bread,26.4,9.
2759,08-06-2024,Salt & Butter Roll,24.5,7.
2760,08-06-2024,Soboro,30.,10.
2761,08-06-2024,Strawberry Cream Soboro,12.75,3.
2762,08-06-2024,Strawberry Soft,14.,4.
2763,08-06-2024,Sweet Frank Roll,61.22,16.
2764,08-06-2024,Taro Buttercream Bread,13.95,3.
2765,08-06-2024,The+ Milk Roll,11.5,2.
2766,08-07-2024,Chocolate Cream Doughnut,26.26,7.
2767,08-07-2024,Corn Cheese Donut,11.3,7.
2768,08-07-2024,Croquette,65.62,18.
2769,08-07-2024,Curry Croquette,94.87,26.
2770,08-07-2024,Kimchi Croquette,56.25,15.
2771,08-07-2024,Mango Cream Doughnut,39.5,10.
2772,08-07-2024,Redbean Donut,12.,4.
2773,08-07-2024,Sesame Donut,16.5,6.
2774,08-07-2024,Sweet Cream Donut,7.,3.
2775,08-07-2024,Sweet Rice Donut,13.34,5.
2776,08-07-2024,Twist Donut,18.43,7.
2777,08-07-2024,Baguette,13.47,4.
2778,08-07-2024,Walnut Cream Baguette,14.85,3.
2779,08-07-2024,Chestnut Pan Bread,19.,4.
2780,08-07-2024,Mascarpone Whipped Cream Loaf,14.,2.
2781,08-07-2024,Whole Milk Loaf,28.,4.
2782,08-07-2024,Chocolate Pretzel Pastry,23.98,7.
2783,08-07-2024,Almond Croissant,85.63,21.
2784,08-07-2024,Blueberry Jam Mont Blanc Pastry,29.,4.
2785,08-07-2024,Caramel Almond Pastry,7.5,2.
2786,08-07-2024,Caramel Apple Pie,51.39,14.
2787,08-07-2024,Chocolate Avalanche,50.56,13.
2788,08-07-2024,Chocolate Croissant,17.,4.
2789,08-07-2024,Cocoa Hazelnut Croissant,21.25,5.
2790,08-07-2024,Cranberry Cream Cheese Scone,7.5,3.
2791,08-07-2024,Cream Puff Pastry,3.75,1.
2792,08-07-2024,Crispy Almond Pastry,3.75,1.
2793,08-07-2024,Croissant,47.12,15.
2794,08-07-2024,Custard & Almond Pretzel Pastry,17.5,5.
2795,08-07-2024,Garlic & Cheese Croissant,20.4,5.
2796,08-07-2024,Greek Yogurt Cherry Danish,48.,13.
2797,08-07-2024,Guava Danish,41.25,11.
2798,08-07-2024,Jalapeno Cheese Croissant,4.25,1.
2799,08-07-2024,Mini Apple Danish Trio,4.25,1.
2800,08-07-2024,Mont Blanc Pastry,18.,3.
2801,08-07-2024,Pain Au Chocolat,73.13,20.
2802,08-07-2024,Pain Aux Raisin,22.5,6.
2803,08-07-2024,Pineapple Cream Cheese Scone,13.75,6.
2804,08-07-2024,Portuguese Egg Tart,26.,8.
2805,08-07-2024,Spinach Feta Danish,74.26,19.
2806,08-07-2024,Strawberry Croissant,23.75,5.
2807,08-07-2024,Sweet Cheese and Blueberry Danish,14.44,4.
2808,08-07-2024,Yuzu Pie,51.,13.
2809,08-07-2024,Banana Soft,14.,4.
2810,08-07-2024,Belgium Waffle,13.47,4.
2811,08-07-2024,Blueberry Cream Cheese Bread,28.,8.
2812,08-07-2024,Blueberry Muffin w/ Blueberry filling,18.96,5.
2813,08-07-2024,Chocolate Dipped Waffle,20.,5.
2814,08-07-2024,Chocolate Muffin w/ Hazelnut filling,15.01,4.
2815,08-07-2024,Cranberry Cream Cheese Bread,9.26,3.
2816,08-07-2024,Croque Monsieur,71.25,15.
2817,08-07-2024,Custard Bun,25.65,9.
2818,08-07-2024,Custard Cream Soboro,24.5,7.
2819,08-07-2024,Foliage Sausage Bread,48.51,10.
2820,08-07-2024,Garlic Cream Cheese Bread,48.4,9.
2821,08-07-2024,Honey Cheese Pancake,44.55,9.
2822,08-07-2024,Honeydew Melon Soft,17.5,5.
2823,08-07-2024,Milk Cream Bread,44.85,14.
2824,08-07-2024,Milk Soft Bread,14.,4.
2825,08-07-2024,Mocha Bread,6.95,1.
2826,08-07-2024,Mocha Cream Bread,14.85,3.
2827,08-07-2024,Morning Bread,12.5,2.
2828,08-07-2024,Nutty Cream Stick Bread,4.25,1.
2829,08-07-2024,Olive Tomato Bread,18.,4.
2830,08-07-2024,Original Coffee Bun,33.75,9.
2831,08-07-2024,Pizza Bread,18.29,4.
2832,08-07-2024,Potato Cheese Bread,38.61,8.
2833,08-07-2024,Premium Red Bean Bread,10.5,3.
2834,08-07-2024,Redbean Bread,26.56,9.
2835,08-07-2024,Salt & Butter Roll,28.35,9.
2836,08-07-2024,Soboro,19.2,7.
2837,08-07-2024,Strawberry Cream Soboro,11.9,3.
2838,08-07-2024,Strawberry Soft,14.,4.
2839,08-07-2024,Sweet Frank Roll,70.31,18.
2840,08-07-2024,Taro Buttercream Bread,14.,4.
2841,08-07-2024,The+ Milk Roll,5.75,1.
2842,08-08-2024,Chocolate Cream Doughnut,50.56,13.
2843,08-08-2024,Corn Cheese Donut,18.15,11.
2844,08-08-2024,Croquette,62.25,17.
2845,08-08-2024,Curry Croquette,93.,25.
2846,08-08-2024,Frank Roll,3.95,1.
2847,08-08-2024,Kimchi Croquette,59.25,16.
2848,08-08-2024,Mango Cream Doughnut,67.15,17.
2849,08-08-2024,Redbean Donut,18.,6.
2850,08-08-2024,Sesame Donut,12.65,5.
2851,08-08-2024,Sweet Cream Donut,16.8,5.
2852,08-08-2024,Sweet Rice Donut,13.75,5.
2853,08-08-2024,Twist Donut,26.4,10.
2854,08-08-2024,Baguette,10.5,3.
2855,08-08-2024,Chestnut Pan Bread,14.25,3.
2856,08-08-2024,Mascarpone Whipped Cream Loaf,33.6,5.
2857,08-08-2024,Multi-Grain Plant-Based Loaf,7.,1.
2858,08-08-2024,Purple Sweet Potato Loaf,14.,2.
2859,08-08-2024,Whole Milk Loaf,7.,1.
2860,08-08-2024,Chocolate Pretzel Pastry,3.5,1.
2861,08-08-2024,Almond Croissant,55.25,13.
2862,08-08-2024,Blueberry Jam Mont Blanc Pastry,25.37,4.
2863,08-08-2024,Caramel Almond Pastry,18.,5.
2864,08-08-2024,Caramel Apple Pie,55.5,15.
2865,08-08-2024,Chocolate Avalanche,55.3,14.
2866,08-08-2024,Chocolate Croissant,41.65,10.
2867,08-08-2024,Cocoa Hazelnut Croissant,25.5,6.
2868,08-08-2024,Crispy Almond Pastry,52.5,14.
2869,08-08-2024,Croissant,51.35,16.
2870,08-08-2024,Custard & Almond Pretzel Pastry,10.5,3.
2871,08-08-2024,Elotes Pastry,27.65,7.
2872,08-08-2024,Frank Pastry,7.9,2.
2873,08-08-2024,Garlic & Cheese Croissant,25.5,6.
2874,08-08-2024,Greek Yogurt Cherry Danish,33.75,9.
2875,08-08-2024,Guava Danish,45.,12.
2876,08-08-2024,Jalapeno Cheese Croissant,8.5,2.
2877,08-08-2024,Mini Apple Danish Trio,29.75,7.
2878,08-08-2024,Mixed Berry Danish,20.,4.
2879,08-08-2024,Mont Blanc Pastry,6.,1.
2880,08-08-2024,Pain Au Chocolat,67.5,18.
2881,08-08-2024,Pineapple Cream Cheese Scone,8.75,4.
2882,08-08-2024,Portuguese Egg Tart,37.7,12.
2883,08-08-2024,Spinach Feta Danish,90.85,23.
2884,08-08-2024,Strawberry Croissant,19.,4.
2885,08-08-2024,Sweet Cheese and Blueberry Danish,33.75,9.
2886,08-08-2024,Yuzu Pie,42.5,10.
2887,08-08-2024,Baby Choux,9.,2.
2888,08-08-2024,Banana Soft,14.,4.
2889,08-08-2024,Belgium Waffle,23.97,7.
2890,08-08-2024,Blueberry Cream Cheese Bread,35.,10.
2891,08-08-2024,Chocolate Dipped Waffle,32.,8.
2892,08-08-2024,Chocolate Muffin w/ Hazelnut filling,11.85,3.
2893,08-08-2024,Cranberry Cream Cheese Bread,13.,4.
2894,08-08-2024,Croque Monsieur,47.5,10.
2895,08-08-2024,Custard Bun,30.,10.
2896,08-08-2024,Custard Cream Soboro,23.8,7.
2897,08-08-2024,Foliage Sausage Bread,79.2,16.
2898,08-08-2024,Garlic Cream Cheese Bread,49.5,9.
2899,08-08-2024,Garlic Ham Cheese Bread,4.25,1.
2900,08-08-2024,Garlic Stick,4.5,2.
2901,08-08-2024,Honey Cheese Pancake,44.55,9.
2902,08-08-2024,Honeydew Melon Soft,16.8,5.
2903,08-08-2024,Milk Cream Bread,45.5,14.
2904,08-08-2024,Milk Soft Bread,17.5,5.
2905,08-08-2024,Mocha Cream Bread,19.8,4.
2906,08-08-2024,Morning Bread,12.5,2.
2907,08-08-2024,Nutty Cream Stick Bread,3.4,1.
2908,08-08-2024,Olive Tomato Bread,22.5,5.
2909,08-08-2024,Original Coffee Bun,18.,5.
2910,08-08-2024,Pizza Bread,23.75,5.
2911,08-08-2024,Potato Cheese Bread,48.51,10.
2912,08-08-2024,Premium Red Bean Bread,14.,4.
2913,08-08-2024,Redbean Bread,18.,6.
2914,08-08-2024,Salt & Butter Roll,30.8,10.
2915,08-08-2024,Soboro,27.,9.
2916,08-08-2024,Strawberry Cream Soboro,12.75,3.
2917,08-08-2024,Strawberry Soft,17.5,5.
2918,08-08-2024,Sweet Frank Roll,56.48,15.
2919,08-08-2024,Taro Buttercream Bread,14.,4.
2920,08-08-2024,The+ Milk Roll,11.5,2.
2921,08-09-2024,Chocolate Cream Doughnut,63.65,15.
2922,08-09-2024,Corn Cheese Donut,20.22,11.
2923,08-09-2024,Croquette,68.,17.
2924,08-09-2024,Curry Croquette,108.55,27.
2925,08-09-2024,Kimchi Croquette,40.65,10.
2926,08-09-2024,Mango Cream Doughnut,90.3,21.
2927,08-09-2024,Redbean Donut,17.25,5.
2928,08-09-2024,Sesame Donut,20.35,8.
2929,08-09-2024,Sweet Cream Donut,18.8,5.
2930,08-09-2024,Sweet Rice Donut,11.,4.
2931,08-09-2024,Twist Donut,49.75,17.
2932,08-09-2024,Baguette,10.5,3.
2933,08-09-2024,Mascarpone Whipped Cream Loaf,21.,3.
2934,08-09-2024,Purple Sweet Potato Loaf,14.,2.
2935,08-09-2024,Raisin Bread,7.5,1.
2936,08-09-2024,Whole Milk Loaf,40.6,6.
2937,08-09-2024,Chocolate Pretzel Pastry,22.5,6.
2938,08-09-2024,Almond Croissant,95.,22.
2939,08-09-2024,Blueberry Jam Mont Blanc Pastry,36.25,5.
2940,08-09-2024,Caramel Almond Pastry,15.,4.
2941,08-09-2024,Caramel Apple Pie,45.45,12.
2942,08-09-2024,Chocolate Avalanche,50.56,13.
2943,08-09-2024,Chocolate Croissant,68.5,16.
2944,08-09-2024,Cocoa Hazelnut Croissant,21.5,5.
2945,08-09-2024,Cranberry Cream Cheese Scone,15.,6.
2946,08-09-2024,Crispy Almond Pastry,50.5,13.
2947,08-09-2024,Croissant,101.62,31.
2948,08-09-2024,Custard & Almond Pretzel Pastry,18.,5.
2949,08-09-2024,Elotes Pastry,28.55,7.
2950,08-09-2024,Frank Pastry,12.75,3.
2951,08-09-2024,Garlic & Cheese Croissant,16.15,4.
2952,08-09-2024,Greek Yogurt Cherry Danish,56.1,15.
2953,08-09-2024,Guava Danish,63.75,17.
2954,08-09-2024,Jalapeno Cheese Croissant,8.5,2.
2955,08-09-2024,Mini Apple Danish Trio,26.25,6.
2956,08-09-2024,Mixed Berry Danish,10.,2.
2957,08-09-2024,Mont Blanc Pastry,18.,3.
2958,08-09-2024,Pain Au Chocolat,68.75,18.
2959,08-09-2024,Pain Aux Raisin,18.75,5.
2960,08-09-2024,Pineapple Cream Cheese Scone,10.,4.
2961,08-09-2024,Portuguese Egg Tart,35.75,11.
2962,08-09-2024,Spinach Feta Danish,83.,21.
2963,08-09-2024,Strawberry Croissant,23.75,5.
2964,08-09-2024,Sweet Cheese and Blueberry Danish,37.75,10.
2965,08-09-2024,Yuzu Pie,72.25,17.
2966,08-09-2024,Banana Soft,7.,2.
2967,08-09-2024,Belgium Waffle,17.5,5.
2968,08-09-2024,Blueberry Cream Cheese Bread,26.5,7.
2969,08-09-2024,Blueberry Muffin w/ Blueberry filling,7.9,2.
2970,08-09-2024,Chocolate Dipped Waffle,32.,8.
2971,08-09-2024,Chocolate Muffin w/ Hazelnut filling,23.7,6.
2972,08-09-2024,Cranberry Cream Cheese Bread,16.75,5.
2973,08-09-2024,Croque Monsieur,39.66,9.
2974,08-09-2024,Custard Bun,24.62,8.
2975,08-09-2024,Custard Cream Soboro,33.25,9.
2976,08-09-2024,Foliage Sausage Bread,76.72,16.
2977,08-09-2024,Garlic Cream Cheese Bread,55.,10.
2978,08-09-2024,Honey Cheese Pancake,58.41,12.
2979,08-09-2024,Honeydew Melon Soft,17.5,5.
2980,08-09-2024,Milk Cream Bread,44.85,14.
2981,08-09-2024,Milk Soft Bread,14.,4.
2982,08-09-2024,Mocha Cream Bread,19.8,4.
2983,08-09-2024,Nutty Cream Stick Bread,8.5,2.
2984,08-09-2024,Olive Tomato Bread,27.,6.
2985,08-09-2024,Original Coffee Bun,26.25,8.
2986,08-09-2024,Pizza Bread,9.5,2.
2987,08-09-2024,Potato Cheese Bread,34.65,7.
2988,08-09-2024,Premium Red Bean Bread,14.75,4.
2989,08-09-2024,Redbean Bread,18.,6.
2990,08-09-2024,Salt & Butter Roll,36.57,11.
2991,08-09-2024,Soboro,15.,5.
2992,08-09-2024,Strawberry Cream Soboro,23.5,5.
2993,08-09-2024,Strawberry Soft,17.5,5.
2994,08-09-2024,Sweet Frank Roll,71.05,18.
2995,08-09-2024,Taro Buttercream Bread,14.,4.
2996,08-09-2024,The+ Milk Roll,23.,4.
2997,08-10-2024,Chocolate Cream Doughnut,67.5,15.
2998,08-10-2024,Corn Cheese Donut,33.75,15.
2999,08-10-2024,Croquette,82.87,20.
3000,08-10-2024,Curry Croquette,144.5,34.
3001,08-10-2024,Kimchi Croquette,59.5,14.
3002,08-10-2024,Mango Cream Doughnut,85.5,19.
3003,08-10-2024,Redbean Donut,22.5,6.
3004,08-10-2024,Sesame Donut,13.75,5.
3005,08-10-2024,Sweet Cream Donut,18.,4.
3006,08-10-2024,Sweet Rice Donut,24.75,9.
3007,08-10-2024,Twist Donut,58.5,18.
3008,08-10-2024,Baguette,14.,4.
3009,08-10-2024,Mascarpone Whipped Cream Loaf,56.,8.
3010,08-10-2024,Purple Sweet Potato Loaf,14.,2.
